"id","date","symbol","open","high","low","close","volume","amount","adj_close"
577,2004-04-20,NEPSE,203.05,203.05,203.05,203.05,0.00000,0.00000,
576,2004-04-19,NEPSE,202.72,202.72,202.72,202.72,0.00000,0.00000,
575,2004-04-16,NEPSE,202.45,202.45,202.45,202.45,0.00000,0.00000,
574,2004-04-15,NEPSE,202.1,202.1,202.1,202.1,0.00000,0.00000,
573,2004-04-14,NEPSE,202.94,202.94,202.94,202.94,0.00000,0.00000,
572,2004-04-12,NEPSE,201.22,201.22,201.22,201.22,0.00000,0.00000,
571,2004-04-09,NEPSE,199.53,199.53,199.53,199.53,0.00000,0.00000,
570,2004-04-08,NEPSE,199.41,199.41,199.41,199.41,0.00000,0.00000,
569,2004-04-07,NEPSE,198.87,198.87,198.87,198.87,0.00000,0.00000,
568,2004-04-06,NEPSE,197.32,197.32,197.32,197.32,0.00000,0.00000,
567,2004-04-05,NEPSE,196.14,196.14,196.14,196.14,0.00000,0.00000,
566,2004-04-02,NEPSE,195.17,195.17,195.17,195.17,0.00000,0.00000,
565,2004-04-01,NEPSE,195.14,195.14,195.14,195.14,0.00000,0.00000,
564,2004-03-31,NEPSE,196.34,196.34,196.34,196.34,0.00000,0.00000,
563,2004-03-26,NEPSE,196.25,196.25,196.25,196.25,0.00000,0.00000,
562,2004-03-19,NEPSE,207.07,207.07,207.07,207.07,0.00000,0.00000,
561,2004-03-18,NEPSE,207.85,207.85,207.85,207.85,0.00000,0.00000,
560,2004-03-17,NEPSE,208.16,208.16,208.16,208.16,0.00000,0.00000,
559,2004-03-16,NEPSE,207.88,207.88,207.88,207.88,0.00000,0.00000,
558,2004-03-15,NEPSE,207.85,207.85,207.85,207.85,0.00000,0.00000,
557,2004-03-12,NEPSE,207.8,207.8,207.8,207.8,0.00000,0.00000,
556,2004-03-11,NEPSE,207.73,207.73,207.73,207.73,0.00000,0.00000,
555,2004-03-10,NEPSE,208.07,208.07,208.07,208.07,0.00000,0.00000,
554,2004-03-09,NEPSE,208.26,208.26,208.26,208.26,0.00000,0.00000,
553,2004-03-08,NEPSE,208.09,208.09,208.09,208.09,0.00000,0.00000,
552,2004-03-05,NEPSE,208.41,208.41,208.41,208.41,0.00000,0.00000,
551,2004-03-04,NEPSE,208.76,208.76,208.76,208.76,0.00000,0.00000,
550,2004-03-03,NEPSE,208.82,208.82,208.82,208.82,0.00000,0.00000,
549,2004-03-02,NEPSE,208.75,208.75,208.75,208.75,0.00000,0.00000,
548,2004-03-01,NEPSE,208.68,208.68,208.68,208.68,0.00000,0.00000,
547,2004-02-27,NEPSE,208.87,208.87,208.87,208.87,0.00000,0.00000,
546,2004-02-26,NEPSE,209.15,209.15,209.15,209.15,0.00000,0.00000,
545,2004-02-24,NEPSE,210.04,210.04,210.04,210.04,0.00000,0.00000,
544,2004-02-23,NEPSE,210.45,210.45,210.45,210.45,0.00000,0.00000,
543,2004-02-20,NEPSE,210.56,210.56,210.56,210.56,0.00000,0.00000,
542,2004-02-17,NEPSE,210.6,210.6,210.6,210.6,0.00000,0.00000,
541,2004-02-16,NEPSE,210.69,210.69,210.69,210.69,0.00000,0.00000,
540,2004-02-13,NEPSE,210.54,210.54,210.54,210.54,0.00000,0.00000,
539,2004-02-10,NEPSE,211.07,211.07,211.07,211.07,0.00000,0.00000,
538,2004-02-09,NEPSE,211.18,211.18,211.18,211.18,0.00000,0.00000,
537,2004-02-06,NEPSE,211.48,211.48,211.48,211.48,0.00000,0.00000,
536,2004-02-05,NEPSE,211.28,211.28,211.28,211.28,0.00000,0.00000,
535,2004-02-04,NEPSE,211.43,211.43,211.43,211.43,0.00000,0.00000,
534,2004-02-03,NEPSE,211.24,211.24,211.24,211.24,0.00000,0.00000,
533,2004-02-02,NEPSE,211.11,211.11,211.11,211.11,0.00000,0.00000,
532,2004-01-29,NEPSE,211.39,211.39,211.39,211.39,0.00000,0.00000,
531,2004-01-28,NEPSE,211.47,211.47,211.47,211.47,0.00000,0.00000,
530,2004-01-27,NEPSE,211.77,211.77,211.77,211.77,0.00000,0.00000,
529,2004-01-26,NEPSE,212.96,212.96,212.96,212.96,0.00000,0.00000,
528,2004-01-23,NEPSE,212.23,212.23,212.23,212.23,0.00000,0.00000,
527,2004-01-22,NEPSE,210.13,210.13,210.13,210.13,0.00000,0.00000,
526,2004-01-21,NEPSE,207.89,207.89,207.89,207.89,0.00000,0.00000,
